p1a_1,p1a_2,p1a_3,p1a_4,p1a_5,p1a_6,p1a_7,p1a_8,p1a_9,p1a_10,p1a_11,p1a_12,p1a_13,p1a_14,p1a_15,p1a_16,p1a_17,p1a_18,p1a_19,p1a_20,p1a_21,p1a_22,p17_1,p17_4,sexo,edad_1,escol,cond_act,h21_1,Tam_loc,ing_fam,Pondi2,estrato
3,3,3,1,3,3,3,2,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,1,2,3,2,1,7,1,0,7754,31
3,3,3,3,2,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,1,1,5,4,1,6,3,0,35340,23
3,3,3,2,2,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,2,2,3,4,2,3,3,5,64682,13
3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,1,1,5,4,1,6,1,8,11169,31
3,1,3,1,2,2,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,1,1,1,7,3,1,9,1,8,103009,21
3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,1,1,4,3,1,4,1,8,83718,11
3,3,3,2,1,2,3,2,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,1,1,5,4,1,7,2,0,10066,12
3,2,3,3,3,3,3,3,3,3,2,1,3,3,3,3,3,3,3,3,3,3,1,1,1,5,5,1,1,1,8,18418,21
3,2,3,2,2,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,1,1,5,5,1,1,1,8,30848,21
2,2,3,2,3,3,2,3,3,3,3,2,3,3,3,1,3,3,3,3,3,3,1,2,1,6,1,1,3,1,8,37977,21
3,3,3,2,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,1,1,4,3,1,12,2,8,110010,32
3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,1,1,4,4,1,1,1,4,22411,41
2,2,2,1,3,2,3,2,3,3,2,2,3,3,3,3,3,3,3,3,3,3,1,1,2,5,4,1,5,1,8,17892,11
3,3,3,2,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,1,2,2,7,1,2,4,3,0,94167,13
3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,1,1,3,5,1,6,1,0,18865,11
3,3,3,1,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,3,4,1,6,1,6,21056,41
3,3,3,3,3,3,3,2,3,3,2,1,3,3,3,3,3,3,3,3,3,3,1,1,2,4,1,2,97,1,0,19675,21
3,3,3,2,2,2,3,2,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,1,1,6,4,1,2,3,0,22826,43
3,3,3,3,3,3,3,1,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,2,2,4,5,2,6,1,7,17311,21
3,2,3,3,3,2,3,2,3,3,2,1,3,3,3,3,3,3,3,3,3,3,1,2,2,3,4,2,2,1,4,18334,21
3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,2,4,3,2,-1,1,0,418173,11
3,3,3,3,3,3,3,2,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,2,1,4,5,1,1,1,0,3117,21
3,3,3,3,3,3,3,3,3,3,3,1,3,3,1,1,3,3,3,3,3,3,1,1,1,4,5,1,6,1,0,74190,11
3,3,3,3,3,3,3,3,3,3,2,1,3,3,3,3,3,3,3,3,3,3,1,1,1,7,4,2,-1,1,0,1812,21
3,3,3,1,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,1,2,5,4,1,7,1,8,23358,11
3,3,3,1,1,2,3,2,2,3,3,2,3,3,2,2,3,3,3,3,3,3,1,1,1,2,4,2,3,4,8,470939,44
3,3,3,1,1,2,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,1,1,1,4,3,1,6,3,6,19216,23
3,3,3,1,1,3,3,2,3,3,3,2,3,3,2,3,3,3,3,3,3,3,1,2,1,5,3,1,5,1,8,97750,11
3,2,3,2,2,3,3,1,1,3,3,1,3,3,3,3,3,3,3,3,3,3,1,1,2,3,5,2,1,1,0,6444,21
3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,1,1,1,5,3,1,11,1,0,11366,31
3,2,3,2,3,3,3,2,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,1,1,2,3,2,1,1,0,52184,21
3,2,3,3,1,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,1,2,1,4,5,1,12,1,0,15828,21
3,2,3,3,3,2,2,2,3,3,3,1,2,3,3,3,3,3,3,3,3,3,1,2,2,4,5,2,1,1,0,23082,21
3,3,3,2,2,2,3,2,3,3,2,1,3,3,2,2,3,3,3,3,3,2,1,1,1,4,1,1,9,2,5,113906,32
3,3,3,1,1,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,1,1,6,3,1,97,1,0,22606,11
3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,2,2,3,2,97,1,3,315909,41
3,3,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,2,3,4,2,99,1,6,22881,11
3,3,3,1,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,2,5,1,2,2,1,8,17892,11
3,3,3,3,1,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,3,4,1,12,1,3,20674,41
3,3,3,2,1,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,2,7,4,-1,12,1,2,18368,41
3,3,3,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,2,3,4,1,7,1,7,203165,41
3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,2,6,2,2,14,1,8,232465,31
3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,1,2,4,2,7,1,8,189895,31
3,2,2,1,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,9,9,1,2,1,4,4,1,9,1,5,88604,21
9,9,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,2,2,3,2,7,1,0,61433,21
2,2,3,1,3,3,3,2,2,3,3,3,3,3,3,1,3,3,3,3,3,3,1,2,2,3,4,2,4,1,3,69031,21
3,3,3,1,3,3,3,2,3,3,3,3,3,3,3,1,3,3,3,3,3,3,1,1,1,5,2,1,14,1,4,6572,11
3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,2,4,2,1,6,1,7,34083,11
3,3,3,1,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,3,1,1,7,1,6,25466,11
3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,2,3,3,1,10,1,4,7783,11
3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,1,3,3,3,3,3,3,1,1,2,3,3,2,14,4,3,65361,14
3,3,3,1,1,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,2,3,2,2,4,4,0,67199,14
3,3,3,3,3,1,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,1,2,2,5,3,1,-1,2,8,18360,12
3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,1,2,2,4,3,2,7,2,5,24807,12
3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,2,2,4,2,6,1,5,656324,11
3,2,3,2,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,2,3,2,2,99,1,5,21039,11
3,1,1,1,1,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,2,4,4,2,2,1,0,169530,21
3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,1,4,3,1,7,1,8,37348,21
3,1,2,1,1,2,2,2,2,3,3,3,3,3,3,2,3,3,3,3,3,3,1,2,1,4,1,1,12,1,7,74023,21
3,3,3,3,1,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,2,3,4,1,14,1,4,123723,21
3,3,3,3,1,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,7,4,2,-1,3,0,10039,23
3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,7,5,2,-1,3,0,15059,23
3,3,3,3,1,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,5,3,1,5,3,5,26214,23
3,3,3,1,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,2,3,3,2,5,3,6,69881,23
3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,3,3,1,2,3,0,51974,23
3,3,3,1,1,2,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,7,1,1,7,1,0,4994,21
3,1,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,2,4,3,2,11,1,4,18280,21
3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,2,7,2,2,-1,1,0,13869,21
3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,3,3,3,1,1,1,5,1,1,7,4,3,52574,24
3,3,3,2,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,2,2,1,-1,12,4,6,311750,24
3,3,3,2,2,3,3,2,3,3,3,2,3,3,3,2,3,3,2,3,3,3,1,1,1,5,2,1,12,4,4,70099,24
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,3,3,3,1,1,1,6,1,1,7,4,8,45574,24
3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,1,2,2,3,3,2,7,4,4,257669,24
3,1,3,1,1,3,3,1,3,3,3,1,3,3,3,1,3,3,3,3,3,3,1,2,2,3,3,1,-1,2,8,69311,22
3,2,3,1,1,2,3,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,1,1,2,3,4,2,14,2,6,46207,22
3,3,3,2,2,2,3,2,1,3,3,2,3,3,3,1,2,3,3,3,3,3,1,1,2,3,3,2,97,2,4,46207,22
2,2,3,1,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,7,1,2,-1,1,0,2959,21
2,3,3,2,2,2,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,1,1,1,7,1,2,5,2,8,4652,22
3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,2,4,3,2,5,3,3,60941,13
3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,2,3,4,2,12,3,4,86243,13
3,3,3,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,1,3,3,1,6,2,5,30798,12
3,2,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,9,9,1,1,2,3,4,1,6,1,7,61007,31
3,3,3,2,2,2,3,2,1,3,3,2,3,3,3,3,3,3,3,3,3,3,1,2,2,4,2,1,7,2,8,89491,42
3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,6,4,2,-1,4,0,63570,44
3,3,3,1,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,5,1,1,5,1,6,78200,11
3,3,3,1,1,2,3,2,2,3,3,3,3,3,3,1,3,3,3,3,3,3,1,1,1,4,4,1,14,1,6,111285,11
3,3,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,2,2,3,1,5,1,2,179560,11
3,3,3,1,1,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,4,4,1,14,1,5,125577,11
3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,1,1,1,2,4,2,3,3,2,27926,13
3,3,2,1,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,2,4,4,2,12,3,4,19871,13
